State,Population
California,39.250.017
Texas,27.862.596
Florida,20.612.439
New York,19.745.289
Illinois,12.801.539
Pennsylvania,12.784.227
Ohio,11.614.373
Georgia,10.310.371
North Carolina,10.146.788
Michigan,9.928.300
New Jersey,8.944.469
Virginia,8.411.808
Washington,7.288.000
Arizona,6.931.071
Massachusetts,6.811.779
Tennessee,6.651.194
Indiana,6.633.053
Missouri,6.093.000
Maryland,6.016.447
Wisconsin,5.778.708
Colorado,5.540.545
Minnesota,5.519.952
South Carolina,4.961.119
Alabama,4.863.300
Louisiana,4.681.666
Kentucky,4.436.974
Oregon,4.093.465
Oklahoma,3.923.561
Connecticut,3.576.452
Puerto Rico,3.411.307
Iowa,3.134.693
Utah,3.051.217
Mississippi,2.988.726
Arkansas,2.988.248
Nevada,2.940.058
Kansas,2.907.289
New Mexico,2.081.015
Nebraska,1.907.116
West Virginia,1.831.102
Idaho,1.683.140
Hawaii,1.428.557
New Hampshire,1.334.795
Maine,1.331.479
Rhode Island,1.056.426
Montana,1.042.520
Delaware,952.065
South Dakota,865.454
North Dakota,757.952
Alaska,741.894
District of Columbia,681.170
Vermont,624.594
Wyoming,585.501
